team2_season,team2_team,team2_score,team2_fgm,team2_fga,team2_fgm3,team2_fga3,team2_ftm,team2_fta,team2_or,team2_dr,team2_ast,team2_to,team2_stl,team2_blk,team2_pf
2003,1102,57.25,19.14285714,39.78571429,20.82142857,11.14285714,17.10714286,4.178571429,16.82142857,13,5.964285714,11.42857143,1.785714286,18.75,7.821428571
2003,1103,78.77777778,27.14814815,55.85185185,16.07407407,19.03703704,25.85185185,9.777777778,19.92592593,15.22222222,7.259259259,12.62962963,2.333333333,19.85185185,5.444444444
2003,1104,69.28571429,24.03571429,57.17857143,19.85714286,14.85714286,20.92857143,13.57142857,23.92857143,12.10714286,6.607142857,13.28571429,3.785714286,18.03571429,6.357142857
2003,1105,71.76923077,24.38461538,61.61538462,20.76923077,15.42307692,21.84615385,13.5,23.11538462,14.53846154,9.307692308,18.65384615,2.076923077,20.23076923,7.576923077
2003,1106,63.60714286,23.42857143,55.28571429,17.64285714,10.64285714,16.46428571,12.28571429,23.85714286,11.67857143,8.357142857,17.03571429,3.142857143,18.17857143,6.107142857
2003,1107,65.92857143,24.03571429,57.46428571,22.17857143,9.928571429,13.53571429,8.25,20.25,11.92857143,6.857142857,12.57142857,2.035714286,15.89285714,7.928571429
2003,1108,69.09090909,24.93939394,58.72727273,16.33333333,14,20.93939394,13.12121212,23.21212121,13.84848485,8.181818182,18.45454545,3.515151515,19.66666667,5.212121212
2003,1110,66.36666667,23.16666667,53.53333333,23.13333333,11.26666667,16.53333333,10,23.13333333,14.23333333,6.4,13.16666667,1.733333333,18.13333333,8.766666667
2003,1111,83.26923077,28.61538462,64.5,21.96153846,18.84615385,26.19230769,13,25.30769231,15.23076923,9.846153846,16.19230769,4.615384615,18.69230769,7.192307692
2003,1112,85.21428571,30.32142857,65.71428571,20.07142857,17.53571429,25,15.17857143,27.64285714,17.64285714,8.464285714,14.78571429,4.214285714,17.75,7.035714286
2003,1113,75.96551724,27.20689655,56.89655172,12.5862069,17.55172414,26.20689655,13.68965517,23.31034483,15.55172414,5.206896552,14,4.24137931,19.4137931,4
2003,1114,70.03571429,23.85714286,53.21428571,18.28571429,15.53571429,22.42857143,10.53571429,22.85714286,11.5,6.607142857,15.96428571,2.357142857,20.5,6.785714286
2003,1115,54.5,19.25,54.28571429,16.85714286,11.25,17.60714286,9.964285714,21.03571429,10.17857143,7.964285714,19.10714286,2.75,20.25,4.75
2003,1116,61.64285714,21.82142857,55.57142857,19.57142857,11.92857143,19.57142857,14.53571429,23.42857143,9.821428571,6.464285714,16.67857143,3.535714286,20.92857143,6.071428571
2003,1117,71.11538462,23.69230769,54.69230769,21.34615385,15.80769231,21.42307692,10.96153846,20.38461538,11.92307692,7.153846154,13.26923077,1.653846154,21.42307692,7.923076923
2003,1119,53.68,19.6,47.6,16.52,8.6,12.72,7.92,21.56,11.72,5.56,17.36,1.6,19.32,5.88
2003,1120,70.1,25.7,54.7,16.33333333,13.06666667,19.73333333,11.93333333,22.56666667,13.4,8.033333333,15.9,4.966666667,16.36666667,5.633333333
2003,1122,69.7037037,23.55555556,52.07407407,17.18518519,16.59259259,24,10.62962963,24.22222222,13.40740741,7.037037037,15.22222222,4.666666667,18.66666667,6
2003,1123,73.3,25.93333333,60.46666667,16.66666667,16.06666667,22.13333333,13.16666667,21.73333333,10.5,5.2,12.83333333,2.2,22.86666667,5.366666667
2003,1124,69,23.60714286,58,26.53571429,12.71428571,17.53571429,11.71428571,23.17857143,14.21428571,8.321428571,13.28571429,2.964285714,15.75,9.071428571
2003,1125,72.46428571,25.5,54.75,22.25,13.28571429,18.92857143,10.53571429,23.64285714,16.89285714,9.071428571,16.92857143,1.714285714,18.35714286,8.178571429
2003,1126,64.7,23.1,55.9,15.93333333,12.8,18.46666667,12.3,20.43333333,10.96666667,8.266666667,15.86666667,1.8,19.43333333,5.7
2003,1127,66.55555556,24.03703704,57.18518519,21.92592593,10.81481481,16,11.7037037,24.22222222,12.7037037,6.444444444,15.07407407,6.481481481,18.25925926,7.666666667
2003,1128,67.84615385,22.03846154,49.76923077,21.65384615,16.07692308,22.23076923,10.65384615,21.46153846,13.38461538,7.884615385,15.65384615,3.961538462,18.07692308,7.692307692
2003,1129,65.89285714,23.07142857,56.17857143,17.39285714,14.57142857,20.89285714,11.17857143,21.92857143,11.64285714,6.642857143,14.39285714,3.821428571,19.5,5.178571429
2003,1130,79.65517241,27.96551724,59.65517241,17.4137931,17.72413793,25.65517241,13.79310345,22.06896552,17,7,13.34482759,2.896551724,18.96551724,6
2003,1131,68.1,23.63333333,54.9,19.33333333,14.26666667,19.2,11,24.4,13.56666667,5.7,13.36666667,3.466666667,20.16666667,6.566666667
2003,1132,66.48148148,21.22222222,48.37037037,17.11111111,17.77777778,24.11111111,8.666666667,22.11111111,12.74074074,7.148148148,16.66666667,2.518518519,22.18518519,6.259259259
2003,1133,72.31034483,24.72413793,56.65517241,17.75862069,16.48275862,23.4137931,11,23.24137931,12.55172414,7.448275862,14.17241379,1.689655172,20.34482759,6.379310345
2003,1135,73.96428571,24.39285714,52.85714286,17.75,18.60714286,25,9.535714286,23.35714286,14.57142857,7.642857143,15.67857143,3.678571429,17.60714286,6.571428571
2003,1137,57.67857143,19,47,17.21428571,13.85714286,21.75,9.714285714,22.03571429,11.67857143,5.785714286,15.82142857,2.142857143,17.78571429,5.821428571
2003,1138,64.82142857,23.28571429,57.92857143,18.46428571,12.85714286,19.14285714,13.57142857,22.64285714,12.64285714,6.428571429,14.5,2.071428571,22.71428571,5.392857143
2003,1139,68.5862069,24.06896552,50.65517241,21.86206897,11.96551724,16.55172414,7.827586207,20.37931034,12.96551724,6.344827586,10.4137931,1.862068966,16.06896552,8.482758621
2003,1140,72.4516129,24.03225806,51.25806452,16.12903226,18.19354839,24.16129032,10.87096774,24.41935484,13.41935484,6.935483871,13.74193548,2.516129032,21.41935484,6.193548387
2003,1141,79.34482759,26.62068966,52.68965517,17.93103448,19.27586207,25.17241379,10.5862069,23.27586207,15.62068966,7.103448276,18.24137931,4,20.96551724,6.827586207
2003,1142,67.51724138,23.5862069,55.55172414,20.20689655,13.93103448,19.44827586,11.51724138,23.37931034,12.44827586,6.965517241,15.82758621,3.827586207,19.44827586,6.413793103
2003,1143,74.48275862,27.34482759,58.72413793,17.03448276,13.37931034,19.51724138,11.24137931,24.37931034,16,6.551724138,14.17241379,2.793103448,17.10344828,6.413793103
2003,1144,65.03846154,22.96153846,52.07692308,17.92307692,12.84615385,18.38461538,7.846153846,19.84615385,14.5,6.192307692,16,2.730769231,16.57692308,6.269230769
